                       home_team              away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
46            Vikingur Reykjavik                 Vestri     11/08/2024 (Sunday)               1.13               9.00              12.00               10.87              1.20              6.95             12.00              10.80
47                   KI Klaksvik        IF Fuglafjordur     11/08/2024 (Sunday)               1.03              14.00              24.00               22.97              1.05             11.50             28.00              26.95
48                          Jaro                   JaPS     11/08/2024 (Sunday)               1.25               5.80               9.75                8.50              1.21              6.25             10.90               9.69
49           FC Shakhtar Donetsk      Polissya Zhytomyr     11/08/2024 (Sunday)               1.29               5.80              10.50                9.21              1.29              5.90             11.50              10.21
50           Rigas Futbola Skola        Grobinas SC/LFS     11/08/2024 (Sunday)               1.07              10.00              17.00               15.93              1.03             11.50             30.00              28.97
51                    Al Ahly SC                    ZED     11/08/2024 (Sunday)               1.23               5.00              10.60                9.37              2.31              3.54              2.70               0.39
52                    Ankaragucu          Sanliurfaspor     11/08/2024 (Sunday)               1.30               4.75               9.20                7.90              1.35              4.70              7.95               6.60
53                         Valur           HK Kopavogur     11/08/2024 (Sunday)               1.21               7.00               8.55                7.34              1.19              7.20             11.50              10.31
54                        Torino    Cosenza Calcio 1914     11/08/2024 (Sunday)               1.27               5.65              10.00                8.73              1.28              5.55              9.60               8.32
55                   Llaneros FC            Atletico FC     12/08/2024 (Monday)               1.23               5.00              13.20               11.97              1.25              5.10             12.40              11.15
56                 Cerro Porteno         Sol de America     12/08/2024 (Monday)               1.40               4.45               7.65                6.25              1.28              5.25             10.00               8.72
57               Landskrona BoIS          GIF Sundsvall     12/08/2024 (Monday)               1.29               5.65               8.85                7.56              1.31              5.50              8.35               7.04
58             Cherno More Varna      POFC Botev Vratsa     12/08/2024 (Monday)               1.32               4.85               9.85                8.53              1.32              4.90              9.65               8.33
59                  FC Dobrudzha            PFC Nesebar    13/08/2024 (Tuesday)               1.26               5.00               9.40                8.14              1.28              4.85              9.10               7.82
60           Rigas Futbola Skola        UE Santa Coloma  14/08/2024 (Wednesday)               1.27               6.30               9.50                8.23              1.23              6.45             12.00              10.77
61              Zalgiris Vilnius         FK TransINVEST  14/08/2024 (Wednesday)               1.21               5.40              12.20               10.99              1.19              5.50             10.80               9.61
62                   Pyramids FC            El Dakhleya  14/08/2024 (Wednesday)               1.13               7.10              20.00               18.87              1.12              7.40             21.00              19.88
63                    CA Penarol          The Strongest   15/08/2024 (Thursday)               1.33               5.31              10.00                8.67              1.33              5.36              9.80               8.47
64                    AEK Athens                FC Noah   15/08/2024 (Thursday)               1.23               6.44              11.90               10.67              1.24              6.30             11.40              10.16
65              Maccabi Tel Aviv           FK Panevezys   15/08/2024 (Thursday)               1.28               5.90               9.90                8.62              1.26              6.15             11.00               9.74
