                        home_team                   away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
46              Red Star Belgrade                  Novi Pazar   10/08/2024 (Saturday)               1.13               9.00              20.00               18.87              1.08              9.00             23.00              21.92
47                   Levski Sofia               FC Krumovgrad   10/08/2024 (Saturday)               1.21               7.00              12.50               11.29              1.19              6.25             16.00              14.81
48                 Pogon Szczecin                 Stal Mielec   10/08/2024 (Saturday)               1.31               5.40               8.55                7.24              1.38              4.90              7.35               5.97
49                     Fenerbahce             Adana Demirspor   10/08/2024 (Saturday)               1.18               9.15              15.00               13.82              1.16              9.30             17.00              15.84
50                  PSV Eindhoven                RKC Waalwijk   10/08/2024 (Saturday)               1.09              10.70              25.00               23.91              1.10             10.20             24.00              22.90
51                         Napoli                      Modena   10/08/2024 (Saturday)               1.14               7.20              13.40               12.26              1.17              7.40             14.00              12.83
52                       FC Porto                 Gil Vicente   10/08/2024 (Saturday)               1.19               6.95              14.50               13.31              1.19              7.20             14.50              13.31
53   Liga Deportiva Universitaria                Cumbaya F.C.   10/08/2024 (Saturday)               1.30               5.02               9.90                8.60              1.15              7.08             16.00              14.85
54              Atletico Nacional                Patriotas FC   10/08/2024 (Saturday)               1.34               4.20               9.30                7.96              1.39              4.40              8.45               7.06
55                     FBC Melgar         Comerciantes Unidos     11/08/2024 (Sunday)               1.15               8.30              18.00               16.85              1.22              7.09             12.80              11.58
56                  Ilves Tampere               IFK Mariehamn     11/08/2024 (Sunday)               1.37               5.10               7.90                6.53              1.34              5.30              8.60               7.26
57                      Valerenga                     Raufoss     11/08/2024 (Sunday)               1.29               5.65               8.85                7.56              1.23              6.30             10.70               9.47
58                  Metta/LU Riga                     Riga FC     11/08/2024 (Sunday)              10.20               6.50               1.19                9.01             19.00              8.00              1.11              17.89
59                   Cliftonville                Portadown FC     11/08/2024 (Sunday)               1.30               5.60               7.80                6.50              1.28              5.65              8.30               7.02
60             Vikingur Reykjavik                      Vestri     11/08/2024 (Sunday)               1.13               9.00              12.00               10.87              1.20              6.95             12.00              10.80
61                           Jaro                        JaPS     11/08/2024 (Sunday)               1.25               5.80               9.75                8.50              1.22              6.10             10.50               9.28
62            FC Shakhtar Donetsk           Polissya Zhytomyr     11/08/2024 (Sunday)               1.29               5.80              10.50                9.21              1.29              5.90             11.00               9.71
63                 FK IMT Belgrad           Partizan Belgrade     11/08/2024 (Sunday)               7.75               4.50               1.34                6.41              9.15              5.15              1.29               7.86
64                     Al Ahly SC                         ZED     11/08/2024 (Sunday)               1.23               5.00              10.60                9.37              1.29              5.15              9.15               7.86
65                     Ankaragucu               Sanliurfaspor     11/08/2024 (Sunday)               1.30               4.75               9.20                7.90              1.31              4.95              8.85               7.54
66                          Valur                HK Kopavogur     11/08/2024 (Sunday)               1.21               7.00               8.55                7.34              1.19              7.20             11.50              10.31
67                         Torino         Cosenza Calcio 1914     11/08/2024 (Sunday)               1.27               5.65              10.00                8.73              1.29              5.45              9.35               8.06
68                Landskrona BoIS               GIF Sundsvall     12/08/2024 (Monday)               1.29               5.65               8.85                7.56              1.31              5.50              8.35               7.04
69              Pirin Blagoevgrad            Botev Plovdiv II     12/08/2024 (Monday)               1.34               4.33               7.85                6.51              1.32              4.50              8.60               7.28
70              Cherno More Varna           POFC Botev Vratsa     12/08/2024 (Monday)               1.32               4.85               9.85                8.53              1.33              4.80              9.45               8.12
71                   FC Dobrudzha                 PFC Nesebar    13/08/2024 (Tuesday)               1.26               5.00               9.40                8.14              1.28              4.85              9.10               7.82
72               Zalgiris Vilnius              FK TransINVEST  14/08/2024 (Wednesday)               1.21               5.40              12.20               10.99              1.19              5.50             10.80               9.61
73             Preston Lions(U23)          Brunswick City U23     09/08/2024 (Friday)               1.01              12.50              18.00               16.99              1.01             17.00             24.00              22.99
74          Bentleigh Greens(U23)          Werribee City(U23)     09/08/2024 (Friday)               1.01              10.50              18.00               16.99              1.06             10.50             18.00              16.94
75       West Adelaide SC Women's         Sturt Lions Women's     09/08/2024 (Friday)               1.09               9.00              17.00               15.91              1.03             13.50             37.00              35.97
76                  Shanghai Port               Meizhou Hakka     09/08/2024 (Friday)               1.11               8.25              15.00               13.89              1.02             20.00             45.00              43.98
77                 Persib Bandung            PSBS Biak Numfor     09/08/2024 (Friday)               1.12               6.75              21.00               19.88              1.16              6.50             16.00              14.84
78             Johor Darul Takzim                       Kedah     09/08/2024 (Friday)               1.12               6.50              26.00               24.88              1.16              6.75             16.00              14.84
79               Al Hussein Irbid            Al Jazeera Amman     09/08/2024 (Friday)               1.15               7.00              13.00               11.85              1.14              7.25             17.00              15.86
80                   Albania(U19)          Liechtenstein(U19)     09/08/2024 (Friday)               1.19               6.75              10.00                8.81              1.15              7.25             16.00              14.85
81                        SV Ried                     SV Horn     09/08/2024 (Friday)               1.20               6.25              10.00                8.80              1.19              7.00             11.00               9.81
82                        Qarabag                   Kapaz PFK     09/08/2024 (Friday)               1.23               6.75               8.25                7.02              1.23              6.25              9.50               8.27
83                        Udinese                    Avellino     09/08/2024 (Friday)               1.13               7.00              17.00               15.87              1.17              7.00             15.00              13.83
84                       IK Brage                  Skovde AIK     09/08/2024 (Friday)               1.44               4.20               6.50                5.06              1.32              5.00              9.50               8.18
85    Boldklubben AF 1893 Women's             HB Koge Woman's     09/08/2024 (Friday)              19.00               8.50               1.09               17.91             20.00              8.50              1.10              18.90
86                     Rappe GOIF              Hassleholms IF     09/08/2024 (Friday)               8.75               6.50               1.15                7.60              6.50              6.00              1.27               5.23
